A,B,C,D,Vth,exp_exact,exp_k1
667,2730,1243,3019,0,1,1
2782,3349,3575,3604,0,1,1
4068,3238,3591,416,0,1,1
1270,2334,2790,2613,0,1,1
1090,648,4013,2097,0,1,1
1032,431,2706,0,0,1,1
1614,0,4,1305,0,1,1
3353,2,6,566,0,1,1
2036,12,28,184,0,1,1
197,182,145,21,0,1,1
2029,15,62,139,0,1,1
1173,1544,533,3337,0,1,1
608,3432,3984,204,0,1,1
3200,1420,181,3413,0,1,1
659,34,54,59,0,1,1
1591,444,301,2362,0,1,1
2962,1371,2625,2440,0,1,1
3647,1200,836,1285,0,1,1
2629,489,2370,1731,0,1,1
1629,3031,2783,2017,0,1,1
103,1632,1395,1765,0,1,1
15,347,1849,18,0,1,1
3977,2165,1277,2163,0,1,1
2478,3892,3719,3977,0,1,1
1353,2017,2238,3205,0,1,1
3631,1397,644,198,0,1,1
18,2186,229,3,0,1,1
1782,3021,2470,2714,0,1,1
510,4022,3110,2865,0,1,1
264,2091,796,952,0,1,1
431,16,8,1078,0,1,1
3465,3544,2919,2056,0,1,1
448,4029,2883,3470,0,1,1
2231,3025,1928,156,0,1,1
172,3995,1745,3812,0,1,1
635,1243,3049,1264,0,1,1
3126,158,393,1298,0,1,1
891,1727,2913,4078,0,1,1
1569,1375,136,3287,0,1,1
1934,2158,3546,3272,0,1,1
1858,3009,3436,1048,0,1,1
49,321,116,228,0,1,1
6,184,87,342,0,1,1
3832,1669,1271,701,0,1,1
1120,193,328,1865,0,1,1
3637,2153,1893,3987,0,1,1
3315,1843,1045,2770,0,1,1
468,1425,2120,2153,0,1,1
2677,1373,3736,2370,0,1,1
2737,3434,3478,3510,0,1,1
3421,1546,3624,992,0,1,1
3979,1606,1084,3810,0,1,1
3405,732,2177,1997,0,1,1
937,1962,2390,2862,0,1,1
1065,1972,2948,2345,0,1,1
9,2352,128,69,0,1,1
3361,4,9,3371,0,1,1
2921,1619,2678,2705,0,1,1
879,15,797,39,0,1,1
3997,3628,2952,3344,0,1,1
1479,375,3954,1625,0,1,1
3025,2142,2843,393,0,1,1
3048,1016,429,1892,0,1,1
16,273,133,271,0,1,1
3797,3733,3823,1181,0,1,1
3629,1126,1846,3027,0,1,1
2426,673,2048,211,0,1,1
3038,1792,2564,3152,0,1,1
2228,1078,3728,3943,0,1,1
3165,356,3805,1980,0,1,1
14,1055,17,407,0,1,1
1105,4,765,32,0,1,1
1941,4,16,1966,0,1,1
1488,1928,2458,375,0,1,1
1725,2397,1159,952,0,1,1
1831,1712,13,191,0,1,1
1786,1349,1636,2873,0,1,1
824,529,127,1316,0,1,1
1380,3256,2859,909,0,1,1
292,81,96,96,0,1,1
1014,2603,1484,3059,0,1,1
2078,1882,454,3893,0,1,1
2193,3950,2627,888,0,1,1
3914,2302,1324,3891,0,1,1
3339,1021,3843,3175,0,1,1
536,1633,1101,3301,0,1,1
207,107,32,593,0,1,1
1237,1760,3401,2430,0,1,1
357,2596,1866,1639,0,1,1
3638,1799,578,305,0,1,1
381,44,13,410,0,1,1
350,1384,1868,1328,0,1,1
3198,3412,2679,59,0,1,1
1375,455,1520,3837,0,1,1
2003,1801,3434,2138,0,1,1
3130,1463,3187,186,0,1,1
1970,1392,3615,656,0,1,1
3173,375,1807,1092,0,1,1
2107,1258,1339,1821,0,1,1
2248,1456,378,3896,0,1,1
299,2874,2652,2929,0,1,1
522,40,1500,3922,0,1,1
1272,1285,431,1455,0,1,1
3064,258,309,1496,0,1,1
3764,826,247,2898,0,1,1
87,797,2750,3595,0,1,1
2493,162,1733,2825,0,1,1
2498,14,465,16,0,1,1
3246,1059,2130,1129,0,1,1
51,333,10,2003,0,1,1
761,1223,1425,2211,0,1,1
3836,1301,2982,1249,0,1,1
1948,317,1686,3473,0,1,1
6,154,1479,6,0,1,1
540,30,124,79,0,1,1
2224,3763,2328,22,0,1,1
3554,1263,3667,3957,0,1,1
2805,2054,4037,2664,0,1,1
1434,3749,2760,3531,0,1,1
2743,699,2222,1314,0,1,1
1739,1216,2943,3942,0,1,1
2960,624,2830,2664,0,1,1
2169,101,819,911,0,1,1
48,593,1672,716,0,1,1
2726,1421,1824,1222,0,1,1
1781,1201,2503,2683,0,1,1
2399,898,3652,1293,0,1,1
4049,2924,3340,2365,0,1,1
3612,591,2532,4072,0,1,1
1916,1,60,102,0,1,1
3861,3,3,2174,0,1,1
1841,3914,4068,1279,0,1,1
133,1964,1362,2022,0,1,1
3772,1809,2369,3532,0,1,1
687,2,9,3729,0,1,1
655,911,1973,1362,0,1,1
946,3604,1203,3081,0,1,1
208,149,0,2012,0,1,1
2962,3323,705,2661,0,1,1
3785,3869,1403,2970,0,1,1
1605,20,0,2884,0,1,1
2276,3894,3964,2636,0,1,1
3595,3273,2213,94,0,1,1
253,18,9,1174,0,1,1
869,31,3174,0,0,1,1
1571,291,4032,253,0,1,1
1295,2178,1297,835,0,1,1
3830,2777,1668,1838,0,1,1
2268,3751,1661,2228,0,1,1
3688,1598,736,171,0,1,1
1905,507,16,354,0,1,1
11,113,13,704,0,1,1
3429,647,2586,1656,0,1,1
3865,1895,81,2324,0,1,1
987,3614,528,2265,0,1,1
2206,2937,2770,70,0,1,1
6,3674,174,85,0,1,1
138,153,1642,11,0,1,1
3859,2003,3273,2921,0,1,1
3480,1514,221,658,0,1,1
3003,8,2149,200,0,1,1
1155,3620,212,785,0,1,1
192,93,4,259,0,1,1
3583,2842,2498,3347,0,1,1
2303,1714,181,67,0,1,1
590,117,1370,3297,0,1,1
1817,1330,2748,219,0,1,1
909,1483,1894,1824,0,1,1
711,1248,2819,2749,0,1,1
191,36,36,174,0,1,1
872,777,624,2290,0,1,1
3618,2553,3540,101,0,1,1
2965,2909,2193,560,0,1,1
3682,2489,2414,602,0,1,1
410,51,176,95,0,1,1
1752,1940,472,705,0,1,1
1760,2143,714,2568,0,1,1
2843,3154,1782,2193,0,1,1
9,1885,8,2476,0,1,1
2745,5,128,118,0,1,1
1178,2565,685,2092,0,1,1
381,3537,1585,3658,0,1,1
1402,165,3279,965,0,1,1
64,1896,2334,1943,0,1,1
1509,3935,2689,1318,0,1,1
1979,1951,708,2226,0,1,1
1600,1598,629,252,0,1,1
1114,15,76,283,0,1,1
603,3790,1476,863,0,1,1
1665,759,426,2700,0,1,1
2105,1787,568,1602,0,1,1
1612,1025,2667,136,0,1,1
2812,687,1449,1956,0,1,1
1411,2081,203,3146,0,1,1
392,3330,1886,3022,0,1,1
1385,3637,34,816,0,1,1
28,841,272,18,0,1,1
1029,2619,2711,3,0,1,1
19,873,74,370,0,1,1
3090,3817,432,9,0,1,1
2395,3329,2535,511,0,1,1
1707,3478,3012,2873,0,1,1
1494,2991,1012,1677,0,1,1
718,581,2480,1318,0,1,1
3489,3280,852,2806,0,1,1
1309,96,2985,2921,0,1,1
2318,3863,3235,53,0,1,1
1865,651,842,88,0,1,1
395,94,476,484,0,1,1
2134,780,1789,2109,0,1,1
624,28,3217,2,0,1,1
3186,89,2634,3237,0,1,1
1848,2318,3114,1645,0,1,1
2182,1257,2607,4037,0,1,1
3355,163,3935,2876,0,1,1
1376,924,177,1931,0,1,1
2827,2,1804,18,0,1,1
427,2518,2787,851,0,1,1
2538,3065,1936,1216,0,1,1
2175,3601,2475,83,0,1,1
1700,864,1228,159,0,1,1
2544,703,1104,2604,0,1,1
633,2684,1496,891,0,1,1
1919,2133,2917,3208,0,1,1
1763,1900,1831,406,0,1,1
2427,3994,1480,2489,0,1,1
33,3163,4026,1707,0,1,1
1168,20,108,36,0,1,1
819,1857,2405,3756,0,1,1
484,10,29,1214,0,1,1
3679,3085,241,2439,0,1,1
3812,2091,3102,2511,0,1,1
551,65,72,29,0,1,1
2918,1453,4034,1058,0,1,1
3305,1455,969,1157,0,1,1
3869,2793,2473,3214,0,1,1
2177,1489,1009,3797,0,1,1
3174,1454,418,2615,0,1,1
1203,3117,31,470,0,1,1
1264,3053,2776,180,0,1,1
2654,3931,485,1318,0,1,1
3971,321,215,3279,0,1,1
2847,1105,499,1720,0,1,1
3372,1803,195,1362,0,1,1
840,0,0,574,0,0,0
2145,3228,3114,591,0,1,1
1265,104,3507,815,0,1,1
3689,3895,232,3382,0,1,1
885,1591,1551,957,0,1,1
351,1825,3837,1211,0,1,1
3199,2783,3689,1425,0,1,1
1748,2357,3638,3742,0,1,1
32,1087,10,109,0,1,1
450,2,2388,11,0,1,1
2668,15,2,0,0,1,1
2226,3686,316,2295,0,1,1
3175,289,2891,3601,0,1,1
1407,2469,1265,350,0,1,1
705,1949,642,910,0,1,1
1617,3976,1427,2440,0,1,1
2240,2247,349,1911,0,1,1
3007,3118,2334,2766,0,1,1
3760,3370,2355,1194,0,1,1
3970,3213,1297,3890,0,1,1
17,25,21,1024,0,1,1
1544,1306,642,3257,0,1,1
3518,2748,2509,679,0,1,1
3907,1670,2124,1695,0,1,1
2958,847,2686,1635,0,1,1
2801,1095,2975,833,0,1,1
1029,3077,2021,1142,0,1,1
4095,3772,893,3720,0,1,1
82,263,41,0,0,1,1
1110,1741,1804,3730,0,1,1
946,1578,1172,1374,0,1,1
3585,854,883,3159,0,1,1
1163,1197,1345,864,0,1,1
1868,3067,590,1878,0,1,1
3441,3151,2115,690,0,1,1
1932,9,26,440,0,1,1
476,541,2347,71,0,1,1
1532,1724,844,2406,0,1,1
0,3598,89,135,0,1,1
2108,2504,564,2641,0,1,1
140,535,1166,2219,0,1,1
3176,2227,2456,3703,0,1,1
112,88,209,1,0,1,1
3092,1897,1823,2989,0,1,1
10,698,1008,17,0,1,1
705,2723,2958,505,0,1,1
3444,34,2849,1931,0,1,1
1438,1249,2978,1898,0,1,1
507,45,2012,4,0,1,1
459,36,19,372,0,1,1
1283,143,810,1581,0,1,1
4000,1671,1527,76,0,1,1
2009,3767,3123,3256,0,1,1
2348,1885,1325,110,0,1,1
393,7,6,3305,0,1,1
3060,626,587,1752,0,1,1
3920,2896,1900,3857,0,1,1
3326,475,2542,3664,0,1,1
1535,3907,3491,2406,0,1,1
2384,479,657,3996,0,1,1
110,108,310,90,0,1,1
3540,338,1251,3505,0,1,1
3135,269,1895,154,0,1,1
1588,2855,2211,3745,0,1,1
3317,1150,1616,2251,0,1,1
943,4,513,42,0,1,1
2812,3648,2592,647,0,1,1
938,2334,2735,2664,0,1,1
1422,161,840,3919,0,1,1
2033,3774,634,3286,0,1,1
2525,548,340,3281,0,1,1
1006,2381,362,2924,0,1,1
1257,1977,4049,4039,0,1,1
3833,1501,3799,758,0,1,1
1459,13,54,346,0,1,1
56,303,3044,2230,0,1,1
4080,459,3041,2551,0,1,1
66,3304,2586,2039,0,1,1
1279,1899,625,4,0,1,1
4059,2742,3996,1863,0,1,1
919,1618,3873,3526,0,1,1
73,46,78,261,0,1,1
25,1702,2196,2987,0,1,1
443,21,24,1084,0,1,1
61,2009,1773,683,0,1,1
3696,3774,2146,3448,0,1,1
4046,2518,4025,1655,0,1,1
3724,1874,583,846,0,1,1
1282,0,32,1160,0,1,1
1549,12,2262,2,0,1,1
1924,371,3683,3567,0,1,1
368,3938,4074,972,0,1,1
2555,2852,1754,2310,0,1,1
1,2623,121,116,0,1,1
2599,961,3135,1586,0,1,1
2922,3694,3969,347,0,1,1
2194,3420,3311,131,0,1,1
23,344,17,248,0,1,1
2494,1189,1969,3627,0,1,1
1392,2500,4081,1081,0,1,1
3562,3217,2295,4081,0,1,1
490,3471,1260,693,0,1,1
2351,438,2854,2952,0,1,1
499,1446,1460,146,0,1,1
3462,1539,2580,805,0,1,1
1259,3398,3894,3556,0,1,1
2552,933,2149,2322,0,1,1
210,349,1802,1996,0,1,1
684,29,11,1023,0,1,1
3720,1978,1851,2409,0,1,1
56,710,126,0,0,1,1
1029,3635,2592,275,0,1,1
46,2359,2786,1300,0,1,1
231,2894,882,3357,0,1,1
1697,1249,1738,3110,0,1,1
3477,2993,3934,1262,0,1,1
3250,3208,311,1902,0,1,1
2548,1908,2845,968,0,1,1
306,1601,3659,3674,0,1,1
3639,975,1043,2962,0,1,1
3714,636,3268,454,0,1,1
3972,3645,594,3715,0,1,1
4023,3212,2611,3498,0,1,1
3764,640,3585,3289,0,1,1
513,879,762,3334,0,1,1
3898,3008,2794,2352,0,1,1
2989,2939,697,1517,0,1,1
3060,3908,3342,3465,0,1,1
697,14,3,2499,0,1,1
579,3413,1474,3294,0,1,1
876,3517,1035,2681,0,1,1
3393,4093,2651,1511,0,1,1
3316,3377,1464,1247,0,1,1
309,2470,3567,4034,0,1,1
3981,1040,362,2929,0,1,1
1234,4028,1188,3283,0,1,1
1026,25,2548,0,0,1,1
3600,4051,3197,835,0,1,1
365,960,845,59,0,1,1
174,3460,1227,977,0,1,1
3417,3833,1775,283,0,1,1
126,114,10,391,0,1,1
1175,1218,3849,2156,0,1,1
332,48,301,2767,0,1,1
1434,3383,2336,268,0,1,1
2684,4084,1667,1991,0,1,1
2212,10,59,325,0,1,1
636,1539,2317,3629,0,1,1
412,2839,425,1874,0,1,1
1581,779,188,4033,0,1,1
2950,2015,2392,2499,0,1,1
2535,3061,621,1983,0,1,1
2485,3173,1376,403,0,1,1
1003,0,16,1674,0,1,1
513,19,18,1292,0,1,1
913,23,498,19,0,1,1
2829,3911,1156,3753,0,1,1
785,17,959,27,0,1,1
139,117,27,687,0,1,1
2917,4072,504,820,0,1,1
2389,864,2855,2698,0,1,1
1660,1303,1229,2547,0,1,1
1269,1689,1031,3941,0,1,1
23,62,250,67,0,1,1
647,351,1239,1451,0,1,1
3336,1424,3516,3275,0,1,1
3515,2352,1596,725,0,1,1
3134,435,1114,1313,0,1,1
4034,1752,4055,3406,0,1,1
3906,19,1583,2033,0,1,1
3594,1058,1124,1389,0,1,1
647,1169,1114,1100,0,1,1
937,2404,268,1338,0,1,1
272,50,14,1181,0,1,1
3313,3073,3439,2243,0,1,1
3107,2028,3397,2970,0,1,1
1099,1442,2241,1747,0,1,1
129,4074,697,2651,0,1,1
2189,1220,2528,2037,0,1,1
2610,902,3716,1446,0,1,1
3379,3542,2930,3065,0,1,1
2192,2536,1611,642,0,1,1
1591,461,3196,4035,0,1,1
6,1078,48,284,0,1,1
564,2942,542,1062,0,1,1
751,3574,169,151,0,1,1
7,2350,299,1876,0,1,1
231,86,48,310,0,1,1
1569,2561,1832,2847,0,1,1
1031,3977,3742,1545,0,1,1
2960,452,3113,442,0,1,1
1123,2947,4087,1307,0,1,1
10,617,4,3781,0,1,1
2364,2609,2085,2265,0,1,1
16,850,21,1103,0,1,1
1791,9,11,2360,0,1,1
2526,1126,19,2787,0,1,1
39,482,2659,4055,0,1,1
3720,3661,2458,3033,0,1,1
794,1322,1011,2633,0,1,1
2593,2859,580,651,0,1,1
3910,1796,2093,1314,0,1,1
2468,3704,1208,2944,0,1,1
4,1779,19,151,0,1,1
23,1158,20,658,0,1,1
1930,1570,2840,3836,0,1,1
988,47,392,3677,0,1,1
1941,733,3055,3332,0,1,1
628,3141,2488,2517,0,1,1
1694,1202,999,1952,0,1,1
15,157,52,484,0,1,1
1385,3680,281,3763,0,1,1
1256,3271,2818,4026,0,1,1
28,183,9,1295,0,1,1
2598,8,936,9,0,1,1
15,1661,90,24,0,1,1
2745,3524,3230,1432,0,1,1
2018,2293,2507,3151,0,1,1
539,9,174,74,0,1,1
839,853,2944,2560,0,1,1
389,897,812,1429,0,1,1
339,3617,3999,1250,0,1,1
3998,2353,1513,474,0,1,1
425,3444,2137,3925,0,1,1
2369,900,3680,1819,0,1,1
365,2566,3065,1724,0,1,1
2476,1,474,46,0,1,1
1607,1673,1774,3497,0,1,1
1208,1753,2573,1160,0,1,1
8,4089,3155,3367,0,1,1
692,918,2041,3869,0,1,1
938,1380,1908,1072,0,1,1
637,1678,1635,2690,0,1,1
1037,1905,1018,2968,0,1,1
2579,1956,465,4037,0,1,1
2168,3518,945,665,0,1,1
540,3335,3519,756,0,1,1
4072,946,1586,3215,0,1,1
2403,2275,612,1504,0,1,1
1911,5,2675,2253,0,1,1
2471,79,2393,1236,0,1,1
264,1228,3660,649,0,1,1
1792,3903,1555,2955,0,1,1
2652,2575,2773,920,0,1,1
3277,2469,2919,378,0,1,1
3412,543,3717,1935,0,1,1
917,2740,2446,55,0,1,1
996,3852,329,2492,0,1,1
3862,3662,3810,3759,0,1,1
194,2635,1049,434,0,1,1
3832,69,2726,2430,0,1,1
3026,2553,4090,3153,0,1,1
801,3687,3365,1247,0,1,1
844,1723,2195,726,0,1,1
2042,3132,414,336,0,1,1
684,358,1651,2958,0,1,1
333,5,1827,10,0,1,1
712,2753,4061,630,0,1,1
1015,791,3264,3479,0,1,1
1462,1949,2736,1892,0,1,1
646,1099,906,563,0,1,1
3287,70,1728,1622,0,1,1
1662,2742,1441,1782,0,1,1
1179,660,3870,935,0,1,1
1852,1843,1983,2228,0,1,1
2,1071,6,248,0,1,1
1206,696,129,1323,0,1,1
1216,3364,1048,3697,0,1,1
1337,17,144,88,0,1,1
2489,141,15,392,0,1,1
2548,3148,3811,378,0,1,1
831,1785,173,3120,0,1,1
759,3222,2476,2396,0,1,1
2134,119,3644,2757,0,1,1
2110,92,132,2404,0,1,1
2828,3897,3001,460,0,1,1
2,95,1800,4,0,1,1
3476,3825,3241,1226,0,1,1
3904,2523,1590,3988,0,1,1
2,3429,496,12,0,1,1
27,322,26,941,0,1,1
2542,2875,2160,1598,0,1,1
519,1855,3265,3072,0,1,1
3272,763,902,3652,0,1,1
14,324,25,247,0,1,1
3550,3693,1018,1087,0,1,1
3311,382,2142,2499,0,1,1
2846,1348,2817,1496,0,1,1
6,4041,47,353,0,1,1
1098,3235,189,604,0,1,1
1558,2649,1517,2171,0,1,1
3766,2791,3464,2423,0,1,1
2862,1544,1165,2490,0,1,1
2214,1915,3911,2581,0,1,1
211,97,382,47,0,1,1
0,499,61,286,0,1,1
1278,3286,4033,2886,0,1,1
262,1141,436,3900,0,1,1
143,2616,552,1331,0,1,1
5,1000,1335,13,0,1,1
28,12,3710,8,0,1,1
36,2694,1660,882,0,1,1
2560,1502,988,1592,0,1,1
11,1507,1420,7,0,1,1
3635,1941,2297,437,0,1,1
2055,1651,556,1169,0,1,1
1954,2388,379,3291,0,1,1
3168,580,452,1309,0,1,1
3,2251,103,107,0,1,1
404,2556,1906,1017,0,1,1
892,113,3051,591,0,1,1
2392,3686,436,408,0,1,1
3080,2513,3698,2644,0,1,1
2633,2192,729,430,0,1,1
1062,1766,2111,3570,0,1,1
21,238,61,273,0,1,1
1037,3326,835,1162,0,1,1
1491,1951,149,811,0,1,1
2676,2559,3607,2769,0,1,1
3647,318,1836,2277,0,1,1
1490,12,2,503,0,1,1
295,1287,3286,1270,0,1,1
1107,8,59,519,0,1,1
2475,189,965,3821,0,1,1
90,153,244,41,0,1,1
2932,3938,3660,593,0,1,1
48,286,2009,4,0,1,1
114,61,1,2789,0,1,1
3655,3137,3345,1286,0,1,1
2175,1549,192,1123,0,1,1
2190,3750,1681,3730,0,1,1
2720,3028,79,713,0,1,1
8,2321,19,582,0,1,1
1135,880,1558,4008,0,1,1
1276,23,10,145,0,1,1
3520,1222,290,2279,0,1,1
770,1953,1999,1387,0,1,1
2575,871,3589,2414,0,1,1
25,718,140,1,0,1,1
3848,170,997,1971,0,1,1
3440,2127,651,448,0,1,1
3313,654,4082,1564,0,1,1
2462,306,1043,3586,0,1,1
791,1538,3841,50,0,1,1
510,3157,336,3534,0,1,1
522,1832,3635,2350,0,1,1
3799,3891,1519,3169,0,1,1
1194,13,693,11,0,1,1
2024,3658,1008,2388,0,1,1
1633,3852,2864,227,0,1,1
1005,3601,1399,2323,0,1,1
2681,418,3478,582,0,1,1
930,918,3217,65,0,1,1
3221,231,3530,825,0,1,1
2596,567,2761,981,0,1,1
8,3300,260,70,0,1,1
3287,1189,1703,1141,0,1,1
2969,3089,2609,17,0,1,1
1758,1721,2406,1435,0,1,1
3650,502,3963,2740,0,1,1
3662,1232,3751,3576,0,1,1
83,114,682,13,0,1,1
6,1293,267,113,0,1,1
2020,3911,711,3313,0,1,1
1399,3842,1145,3901,0,1,1
3924,1153,2401,858,0,1,1
954,230,1515,1652,0,1,1
2809,77,644,2995,0,1,1
3548,3213,3061,4020,0,1,1
2435,3853,2423,2728,0,1,1
1051,3192,61,1797,0,1,1
103,161,37,64,0,1,1
6,1563,4031,1753,0,1,1
854,4077,1973,228,0,1,1
1429,295,3535,1072,0,1,1
2912,1730,1113,2635,0,1,1
2127,1837,17,2613,0,1,1
103,219,2559,8,0,1,1
2682,3793,1463,1047,0,1,1
1279,1631,908,2167,0,1,1
1758,3184,3004,2112,0,1,1
3000,4053,2796,200,0,1,1
1885,3607,92,2532,0,1,1
447,199,1335,1909,0,1,1
3834,52,1492,3760,0,1,1
3226,3332,291,3020,0,1,1
3663,2086,2945,2151,0,1,1
3348,3675,1528,3229,0,1,1
3149,1156,3826,2263,0,1,1
394,1078,3257,2833,0,1,1
2501,3926,1198,1415,0,1,1
1759,3578,3855,2532,0,1,1
1802,3509,3658,1624,0,1,1
3875,2204,1781,869,0,1,1
2949,3365,1781,1244,0,1,1
2791,320,2801,1232,0,1,1
178,1575,2464,3508,0,1,1
1074,1048,279,726,0,1,1
1738,1246,2751,1365,0,1,1
39,541,380,23,0,1,1
1508,3158,2772,248,0,1,1
2462,4078,2156,1660,0,1,1
2221,1007,775,2937,0,1,1
4041,3519,3198,2606,0,1,1
2000,2102,40,2701,0,1,1
3138,686,1396,1535,0,1,1
64,551,1635,4,0,1,1
973,35,3,1748,0,1,1
1069,2456,2943,2325,0,1,1
519,602,2209,3816,0,1,1
239,23,180,171,0,1,1
2610,1717,320,2044,0,1,1
3193,2789,3346,2590,0,1,1
1129,2456,2621,3520,0,1,1
3029,3301,683,569,0,1,1
2997,870,3152,674,0,1,1
1756,1834,3625,2761,0,1,1
623,3349,1654,3798,0,1,1
3933,1023,2922,159,0,1,1
2424,3561,3264,3857,0,1,1
3534,3741,1745,513,0,1,1
983,226,1242,3142,0,1,1
1462,333,2761,50,0,1,1
2561,671,3413,2767,0,1,1
2383,3150,522,269,0,1,1
3490,193,3416,1470,0,1,1
1285,1247,1722,44,0,1,1
1545,3128,1136,2431,0,1,1
2722,2167,3730,2326,0,1,1
379,1210,234,774,0,1,1
428,2844,3606,2041,0,1,1
2573,2396,1811,2091,0,1,1
2182,3597,738,887,0,1,1
1284,560,51,1623,0,1,1
3499,3787,3828,3588,0,1,1
2616,1797,2032,1702,0,1,1
2854,337,384,1239,0,1,1
3092,2691,2536,2040,0,1,1
1528,886,3201,2745,0,1,1
2352,654,4066,2286,0,1,1
1296,7,322,1,0,1,1
2844,0,289,19,0,1,1
834,1398,3506,135,0,1,1
3953,4066,3005,3634,0,1,1
1966,2604,153,1966,0,1,1
1549,693,1093,1517,0,1,1
531,1561,3953,1348,0,1,1
18,305,157,16,0,1,1
3,2622,581,16,0,1,1
969,29,1,2161,0,1,1
2026,1879,2555,2354,0,1,1
3915,1114,1685,2204,0,1,1
3588,383,3503,978,0,1,1
2068,3144,58,2023,0,1,1
560,267,3855,1133,0,1,1
4080,2857,2219,213,0,1,1
1451,3267,2012,1537,0,1,1
1070,860,2108,592,0,1,1
744,578,1844,3543,0,1,1
620,2524,761,356,0,1,1
89,300,27,15,0,1,1
17,1193,66,225,0,1,1
1480,3266,45,480,0,1,1
121,3583,2915,1188,0,1,1
2318,294,1015,3399,0,1,1
2095,313,2961,2636,0,1,1
2257,2579,30,1325,0,1,1
3137,2102,1839,2131,0,1,1
330,3847,1792,4017,0,1,1
554,3802,1208,1807,0,1,1
330,15,918,13,0,1,1
2734,1600,1841,2169,0,1,1
196,112,87,46,0,1,1
2735,1913,1585,2099,0,1,1
499,2955,2708,1191,0,1,1
790,22,214,11,0,1,1
2728,0,794,25,0,1,1
2876,1110,200,49,0,1,1
3100,2644,182,2550,0,1,1
1710,1006,2426,1410,0,1,1
3408,2981,18,1065,0,1,1
1131,3499,1455,3370,0,1,1
2687,3679,2811,1869,0,1,1
2348,1784,2234,1597,0,1,1
980,3076,640,2196,0,1,1
1720,1881,1070,968,0,1,1
2770,821,1244,3778,0,1,1
1338,882,3126,3026,0,1,1
1570,1090,2664,2415,0,1,1
2264,887,3819,315,0,1,1
2572,1927,717,1585,0,1,1
55,2737,2291,2401,0,1,1
3,1791,2179,11,0,1,1
2555,2726,336,4071,0,1,1
19,107,4,2867,0,1,1
2179,1,15,1253,0,1,1
358,2674,525,3486,0,1,1
2153,11,1688,9,0,1,1
3,2824,2563,13,0,1,1
123,3906,1927,2757,0,1,1
2851,3140,2869,3918,0,1,1
3306,282,56,2720,0,1,1
3517,3200,3200,2514,0,1,1
2814,30,2223,745,0,1,1
843,494,3790,3313,0,1,1
2825,5,1873,15,0,1,1
2227,3293,3646,1145,0,1,1
139,3171,1097,229,0,1,1
3918,3414,3210,3175,0,1,1
853,31,3879,746,0,1,1
2606,3038,1433,978,0,1,1
2191,4088,1507,3169,0,1,1
1455,198,636,2433,0,1,1
2,3103,46,80,0,1,1
1740,59,3693,3222,0,1,1
783,2060,962,3950,0,1,1
2352,532,2643,2944,0,1,1
3748,3657,3065,3460,0,1,1
17,1415,3401,4,0,1,1
3366,1322,856,2090,0,1,1
2546,3873,3993,1276,0,1,1
1403,182,2182,238,0,1,1
2813,3883,169,330,0,1,1
14,734,4,3573,0,1,1
3629,1953,2185,1417,0,1,1
2547,2579,1775,3991,0,1,1
966,2999,1685,586,0,1,1
2947,4011,3668,3995,0,1,1
2601,8,37,331,0,1,1
982,3939,153,2283,0,1,1
484,944,2987,1348,0,1,1
3541,3110,2621,2692,0,1,1
3568,1030,3542,3775,0,1,1
1812,2323,2637,2803,0,1,1
3654,1735,1637,942,0,1,1
2823,1505,3863,757,0,1,1
1389,2101,3544,1228,0,1,1
